Name	Description	A54939	A54940	A54941	A54942	A54943	A54944	A54945	A54946	A54947
SAT2	na	3.918214	7.973092	6.945547	4.333457	7.697365	8.326704	2.582398	7.544478	7.71162
ALDOC	na	7.742857	3.4233	3.716154	5.432459	4.418995	3.918892	7.155562	3.668377	4.622514
EVI2B	na	21.279656	36.254827	36.23202	28.347249	40.000603	40.46792	26.417723	43.227964	44.444911
CCL2	na	36.869008	105.46186	70.195604	13.341442	49.18564	55.562893	11.967823	59.846719	59.223282
LIG3	na	8.826287	7.205127	6.988369	9.473877	6.253193	6.262937	9.471744	6.921474	6.873541
IGFBP4	na	60.460718	44.617216	39.25657	58.854922	40.344391	41.742253	57.057545	40.22189	39.672104
IFI35	na	12.138126	22.192643	13.931778	9.612921	20.187899	15.11088	11.498769	21.508173	15.651359
VAT1	na	57.982922	91.244579	80.324208	51.509163	83.766906	79.447053	56.535907	92.074505	88.547024
FMNL1	na	10.066259	19.330224	16.275647	8.817964	16.993002	16.514202	8.504693	19.000139	18.106215
NSF	na	58.4624	86.271953	73.508911	57.209332	76.198181	71.297981	54.970176	76.011725	66.448293
	na	4.031576	6.843673	6.813131	3.161714	4.823914	6.860971	3.553095	6.433342	5.539764
COPZ2	na	26.875577	13.708334	16.142765	25.607231	12.559007	15.074029	25.018339	12.850408	14.741616
PRR11	na	42.27573	32.045156	21.860158	44.532084	31.145888	22.628396	39.463878	34.662222	20.984154
CLTC	na	50.437133	69.346436	59.29391	45.380443	56.854206	61.296448	45.468752	63.614158	58.242683
DCAF7	na	37.325004	53.09189	46.052886	38.366029	54.831551	47.676816	39.075743	55.756731	43.266462
WBP2	na	59.598523	77.775608	75.90797	54.996845	75.225626	80.514342	54.187709	82.61707	82.533356
SYNGR2	na	19.675725	11.270424	13.115288	19.427121	9.328943	13.368328	16.805081	11.933647	12.068912
SYNGR2	na	108.740079	56.425365	76.974559	98.801938	52.591719	77.125906	92.802458	55.960847	75.526459
SLC25A10	na	59.039475	43.761224	37.372344	59.239458	45.335367	40.643628	59.3764	46.469353	43.69417
MCRIP1	na	18.053076	32.410805	25.033304	18.493811	26.982229	24.455399	19.281833	32.074672	25.569055
RAC3	na	41.877398	21.329371	23.985044	40.929766	23.075626	25.725079	47.287032	27.375843	28.166923
RAC3	na	19.945469	10.422928	9.20365	19.598005	10.930305	10.169953	18.87073	12.079574	9.500859
SLC16A3	na	117.707268	201.316898	163.519836	107.168822	181.192015	177.805495	112.055086	206.760269	190.890061
RAB12	na	3.460419	5.776606	5.725207	3.942157	5.287829	5.241834	4.099256	5.12102	5.408485
APCDD1	na	9.147929	3.116334	4.719205	9.37953	3.01282	4.911854	10.927427	3.736592	4.965054
APCDD1	na	11.047508	4.23651	6.16813	14.264229	5.348322	6.760971	10.000918	5.526771	7.742553
APCDD1	na	16.750518	4.86363	6.765566	19.522398	4.278596	8.355102	16.964916	6.467529	10.560223
APCDD1	na	10.613009	3.119644	5.641188	13.124467	2.848739	6.959133	12.109808	4.624637	7.988041
NPC1	na	7.382394	11.265489	10.772616	6.051822	10.643129	10.615699	6.44463	11.327445	10.771132
TTC39C	na	6.37066	8.139105	8.074305	5.944568	7.501055	7.950929	5.529174	7.99152	8.837135
SS18	na	7.204481	11.184356	11.436798	7.622742	10.649868	10.75882	7.090203	10.071205	11.060733
ELANE	na	1238.632883	701.096223	812.522227	1162.482498	716.35339	822.177874	1217.033982	795.061201	946.261743
ARID3A	na	10.811304	16.295532	14.143148	10.715399	16.959567	15.658874	10.385665	19.0133	15.688897
GAMT	na	135.870772	85.89633	83.217397	115.005623	75.07435	84.93438	121.417077	82.402255	86.971931
REXO1	na	9.894561	13.419806	12.403801	8.944771	13.501757	12.669522	8.766583	14.777646	11.941885
ADAT3	na	10.305699	13.773302	12.056832	9.375655	12.339549	11.867829	9.754629	13.480662	13.335532
MOB3A	na	73.628112	104.025941	103.620252	58.093514	95.910524	103.289914	56.821468	94.122523	98.40281
SIRT6	na	2.292886	4.716181	4.815509	2.331922	3.869941	5.401549	2.949528	4.922584	5.396664
SLC25A23	na	17.159776	9.444512	10.004098	16.430718	9.438546	10.696557	16.718546	10.385315	9.843165
CD70	na	60.898193	34.290447	32.674489	60.032252	32.776597	41.311591	61.576621	38.717972	42.889438
MCEMP1	na	82.110511	179.214184	111.728798	55.079466	109.155419	111.373149	59.674815	113.517796	125.224536
EVI5L	na	5.283455	10.411564	8.51554	3.917468	7.855407	7.288489	3.569101	8.594614	7.755239
CTXN1	na	14.508059	8.866076	4.677252	12.998304	7.641367	4.315223	11.551024	7.761079	5.059003
CD320	na	90.912914	59.370562	51.95958	87.701823	54.228644	56.399808	91.875877	62.178685	61.896429
CDKN2D	na	2.743615	5.892446	5.573951	3.384582	5.767759	5.616159	2.180201	6.316617	5.385769
DDA1	na	6.930828	8.236995	8.440648	5.826098	8.235863	8.571601	5.708651	8.76459	9.223999
DDA1	na	27.403933	37.278228	33.448302	28.294553	39.502741	42.31285	26.700591	43.417401	39.560681
JUND	na	36.469503	61.362259	48.796001	25.819717	48.173867	44.56956	24.596944	46.929129	46.715607
JUND	na	17.124909	28.172667	21.514463	11.064916	28.079383	26.062146	14.874755	27.407176	26.663808
CERS1	na	11.081941	4.287018	4.06546	13.13221	4.593109	4.852578	14.454412	5.882618	5.548439
PDCD5	na	88.822864	67.051691	71.761233	88.134311	61.518885	67.688152	86.19217	60.644222	71.140706
ANKRD27	na	14.843313	12.268957	11.541104	16.46183	11.40082	10.986237	16.373031	13.73277	11.031987
IGFLR1	na	3.361325	6.037176	5.078456	2.84802	5.074723	4.935909	2.960215	6.344215	4.90048
LRFN1	na	6.90047	4.327176	3.212681	6.366665	3.831644	2.775037	6.368593	4.429088	3.137444
